Pair Address,Name,Symbol,Volume (24h),Volume (1h),Volume (5m),Buys (5m),Sells (5m),Price (Native),Liquidity (USD),Price Change (5m)
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,259585.39,259585.39,13938.09,9,3,0.0000008600,73218.15,-11.12
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,259585.39,259585.39,13938.09,9,3,0.0000008600,73218.15,-11.12
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,264931.9,264931.9,9749.62,9,2,0.0000008890,74454.11,-1.07
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,264931.9,264931.9,9749.62,9,2,0.0000008890,74454.11,-1.07
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,271898.44,271898.44,16716.16,15,5,0.0000007739,69487.28,-13.87
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,271898.44,271898.44,16716.16,15,5,0.0000007739,69487.28,-13.87
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,273701.11,273701.11,17978.11,15,5,0.0000008565,73121.84,-7.37
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,273701.11,273701.11,17978.11,15,5,0.0000008565,73121.84,-7.37
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,274856.4,274856.4,18412.47,15,6,0.0000008367,72293.96,-12.85
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,274856.4,274856.4,18412.47,15,6,0.0000008367,72293.96,-12.85
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,275033.31,275033.31,18589.38,16,6,0.0000008456,72709.78,-11.92
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,275033.31,275033.31,18589.38,16,6,0.0000008456,72709.78,-11.92
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,284132.06,284132.06,19920.92,13,9,0.0000007204,67123.43,-15.74
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,284132.06,284132.06,19920.92,13,9,0.0000007204,67123.43,-15.74
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,285214.82,285214.82,21003.68,15,9,0.0000007676,69288.95,-10.23
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,285214.82,285214.82,21003.68,15,9,0.0000007676,69288.95,-10.23
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,285214.82,285214.82,13316.37,8,6,0.0000007676,69288.95,-0.83
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,285214.82,285214.82,13316.37,8,6,0.0000007676,69288.95,-0.83
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,293784.08,293784.08,18927.68,16,8,0.0000008570,73240.96,2.42
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,293784.08,293784.08,18927.68,16,8,0.0000008570,73240.96,2.42
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,297394.57,297394.57,22538.17,17,8,0.000001034,80486.48,23.61
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,297394.57,297394.57,22538.17,17,8,0.000001034,80486.48,23.61
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,301879.09,301879.09,26845.77,19,11,0.0000008581,73345.06,1.48
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,301879.09,301879.09,26845.77,19,11,0.0000008581,73345.06,1.48
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,301879.09,301879.09,17747.02,16,6,0.0000008581,73345.06,19.11
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,301879.09,301879.09,17747.02,16,6,0.0000008581,73345.06,19.11
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,303672.42,303672.42,19540.35,17,7,0.0000008588,73408.05,19.22
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,303672.42,303672.42,18457.59,15,7,0.0000008588,73408.05,11.89
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,303672.42,303672.42,18457.59,15,7,0.0000008588,73408.05,11.89
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,303798.9,303798.9,18584.07,17,7,0.0000008644,73631.03,12.62
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,303798.9,303798.9,18584.07,17,7,0.0000008644,73631.03,12.62
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,305102.97,305102.97,11318.88,7,5,0.0000008040,71007.4,-6.18
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,305102.97,305102.97,11318.88,7,5,0.0000008040,71007.4,-6.18
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,305857.75,305857.75,4378.27,4,3,0.0000007701,69497.84,-8.25
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,305857.75,305857.75,4378.27,4,3,0.0000007701,69497.84,-8.25
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,306287.72,306287.72,4408.63,5,3,0.0000007893,70362.31,-8.02
