Pair Address,Name,Symbol,Volume (24h),Volume (1h),Volume (5m),Buys (5m),Sells (5m),Price (Native),Liquidity (USD),Price Change (5m)
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,3884.37,3884.37,3884.37,6,1,0.0002947,167590.19,7.7
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,3884.37,3884.37,3884.37,6,1,0.0002947,167590.19,7.7
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,3884.37,3884.37,3884.37,6,1,0.0002947,167590.19,7.7
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,3884.37,3884.37,3884.37,6,1,0.0002947,167590.19,7.7
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,3884.37,3884.37,3884.37,6,1,0.0002947,167590.19,7.7
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,3884.37,3884.37,3884.37,6,1,0.0002947,167590.19,7.7
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,4707.65,4707.65,4707.65,7,1,0.0003006,169312.23,9.87
